,Solar1,Solar2,Solar3,Solar4,Solar5,Solar6,Solar7,Solar8,Solar9,Solar10,Solar11,Solar12,Solar13,Solar14,Solar15,Solar16,Solar17,Solar18,Solar19,Solar20,Solar21,Solar22,Solar23,Solar24,Solar25,Solar26,Solar27,Solar28,Solar29,Solar30,Solar31,Solar32,Solar33,Solar34,Solar35,Solar36,Solar37,Solar38,Solar39,Solar40,Solar41,Solar42,Solar43,Solar44,Solar45,Solar46,Solar47,Solar48,Solar49,Solar50,Solar51,Solar52,Solar53,Solar54,Solar55,Solar56,Solar57,Solar58,Solar59,Solar60,Solar61,Solar62,Solar63,Solar64,Solar65,Solar66,Solar67,Solar68,Solar69,Solar70,Solar71,Solar72
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wind1,Wind2,Wind3,Wind4,Wind5,Wind6,Wind7,Wind8,Wind9,Wind10,Wind11,Wind12,Wind13,Wind14,Wind15,Wind16,Wind17,Wind18,Wind19,Wind20,Wind21,Wind22,Wind23,Wind24,Wind25,Wind26,Wind27,Wind28,Wind29,Wind30,Wind31,Wind32,Wind33,Wind34,Wind35,Wind36,Wind37,Wind38,Wind39,Wind40,Wind41,Wind42,Wind43,Wind44,Wind45,Wind46,Wind47,Wind48,Wind49,Wind50,Wind51,Wind52,Wind53,Wind54,Wind55,Wind56,Wind57,Wind58,Wind59,Wind60,Wind61,Wind62,Wind63,Wind64,Wind65,Wind66,Wind67,Wind68,Wind69,Wind70,Wind71,Wind72
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,off_wind1,off_wind2,off_wind3,off_wind4,off_wind5,off_wind6,off_wind7,off_wind8,off_wind9,off_wind10,off_wind11,off_wind12,off_wind13,off_wind14,off_wind15,off_wind16,off_wind17,off_wind18,off_wind19,off_wind20,off_wind21,off_wind22,off_wind23,off_wind24,off_wind25,off_wind26,off_wind27,off_wind28,off_wind29,off_wind30,off_wind31,off_wind32,off_wind33,off_wind34,off_wind35,off_wind36,off_wind37,off_wind38,off_wind39,off_wind40,off_wind41,off_wind42,off_wind43,off_wind44,off_wind45,off_wind46,off_wind47,off_wind48,off_wind49,off_wind50,off_wind51,off_wind52,off_wind53,off_wind54,off_wind55,off_wind56,off_wind57,off_wind58,off_wind59,off_wind60,off_wind61,off_wind62,off_wind63,off_wind64,off_wind65,off_wind66,off_wind67,off_wind68,off_wind69,off_wind70,off_wind71,off_wind72
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,demand1,demand2,demand3,demand4,demand5,demand6,demand7,demand8,demand9,demand10,demand11,demand12,demand13,demand14,demand15,demand16,demand17,demand18,demand19,demand20,demand21,demand22,demand23,demand24,demand25,demand26,demand27,demand28,demand29,demand30,demand31,demand32,demand33,demand34,demand35,demand36,demand37,demand38,demand39,demand40,demand41,demand42,demand43,demand44,demand45,demand46,demand47,demand48,demand49,demand50,demand51,demand52,demand53,demand54,demand55,demand56,demand57,demand58,demand59,demand60,demand61,demand62,demand63,demand64,demand65,demand66,demand67,demand68,demand69,demand70,demand71,demand72
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,fuel_cell1,fuel_cell2,fuel_cell3,fuel_cell4,fuel_cell5,fuel_cell6,fuel_cell7,fuel_cell8,fuel_cell9,fuel_cell10,fuel_cell11,fuel_cell12,fuel_cell13,fuel_cell14,fuel_cell15,fuel_cell16,fuel_cell17,fuel_cell18,fuel_cell19,fuel_cell20,fuel_cell21,fuel_cell22,fuel_cell23,fuel_cell24,fuel_cell25,fuel_cell26,fuel_cell27,fuel_cell28,fuel_cell29,fuel_cell30,fuel_cell31,fuel_cell32,fuel_cell33,fuel_cell34,fuel_cell35,fuel_cell36,fuel_cell37,fuel_cell38,fuel_cell39,fuel_cell40,fuel_cell41,fuel_cell42,fuel_cell43,fuel_cell44,fuel_cell45,fuel_cell46,fuel_cell47,fuel_cell48,fuel_cell49,fuel_cell50,fuel_cell51,fuel_cell52,fuel_cell53,fuel_cell54,fuel_cell55,fuel_cell56,fuel_cell57,fuel_cell58,fuel_cell59,fuel_cell60,fuel_cell61,fuel_cell62,fuel_cell63,fuel_cell64,fuel_cell65,fuel_cell66,fuel_cell67,fuel_cell68,fuel_cell69,fuel_cell70,fuel_cell71,fuel_cell72
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pump1,Pump2,Pump3,Pump4,Pump5,Pump6,Pump7,Pump8,Pump9,Pump10,Pump11,Pump12,Pump13,Pump14,Pump15,Pump16,Pump17,Pump18,Pump19,Pump20,Pump21,Pump22,Pump23,Pump24,Pump25,Pump26,Pump27,Pump28,Pump29,Pump30,Pump31,Pump32,Pump33,Pump34,Pump35,Pump36,Pump37,Pump38,Pump39,Pump40,Pump41,Pump42,Pump43,Pump44,Pump45,Pump46,Pump47,Pump48,Pump49,Pump50,Pump51,Pump52,Pump53,Pump54,Pump55,Pump56,Pump57,Pump58,Pump59,Pump60,Pump61,Pump62,Pump63,Pump64,Pump65,Pump66,Pump67,Pump68,Pump69,Pump70,Pump71,Pump72
